Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating
73;barcelona;El Clot;Cozy single/tween room. Private bath.+breakfast.;en;['de', 'en', 'it', 'ru'];50
74;barcelona;Eixample;Lovely room with galery Eixample;en;['en'];45
75;barcelona;Gràcia;Single room Sagrada Familia;en;[];45
76;barcelona;el Fort Pienc;Sunny room near the sea, Fort Pienc;es;['en'];50
77;barcelona;Ciutat Vella;DOUBLE ROOM IN GOTHIC NEIGHBORHOOD;en;[];45
78;barcelona;Dreta de l'Eixample;Big Room & Perfect Location;en;['en'];45
79;barcelona;Ciutat Vella;Barcelona Beach House 2;en;[];45
80;barcelona;El Gòtic;Plz REAL (Square)10  /R2. PENTHOUSE;en;['en', 'fr', 'it'];45
81;barcelona;Vallcarca i els Penitents;DOUBLE ROOM INDEPENDENT + BALCONY;en;['en', 'it'];45
82;barcelona;Ciutat Vella;Very economic double room.;en;['de', 'en'];45
83;barcelona;el Fort Pienc;1- An oasis in Barcelona Centre;es;['en'];50
84;barcelona;Ciutat Vella;RAMBLAS [ROOM 4-PAX] in terrace apartment;en;['en'];45
85;barcelona;Eixample;Sagrada Familia brand new flat;en;['en'];45
86;barcelona;Ciutat Vella;Discover the Old City from Bright & Airy Bedroom in El Born;en;['en'];50
87;barcelona;El Poblenou;LOFT-STYLE BEACH FLAT;en;['de', 'en', 'fr', 'it'];50
88;barcelona;Gràcia;At the heart of Barcelona. Gracia.;en;[];45
89;barcelona;Ciutat Vella;BCN center / private bathroom - king bed;en;[];50
90;barcelona;Eixample;Lovely room in downtown BCN w/private bathroom;en;[];45
91;barcelona;Dreta de l'Eixample;Walk everywhere!Brand new apartWIFI;en;['en'];45
92;barcelona;El Gòtic;The VERY Center/Private bathroom.;en;['en'];50
93;barcelona;Eixample;Bedroom + private living + glazed balcony;en;['en'];50
94;barcelona;Ciutat Vella;BEST LOCATION - EL BORN;en;['en', 'it', 'pt'];50
95;barcelona;Eixample;ROMANTIC Apartment WIFI in center;en;['en'];45
96;barcelona;Eixample;Modernist flat Downtown Casa Estapé | Barcelona;en;['en', 'fr'];50
97;barcelona;Eixample;Penthouse Loft in Heart of Bcn;en;['en', 'fr'];50
98;barcelona;Ciutat Vella;Double Room in El vaixell de paper;en;['en', 'fr'];50
99;barcelona;Eixample;AMAZING & BRIGHT IN EIXAMPLE;en;[];50
100;barcelona;Ciutat Vella;18 m2 room amazing flat Born-centre;en;['en', 'fr'];45
101;barcelona;Eixample;Room with PRIVATE LIVINGROOM and BATH in center;en;['en'];45
102;barcelona;Ciutat Vella;Room in a sunny terraced penthouse;en;['en', 'it', 'pt'];50
103;barcelona;Ciutat Vella;Centric Double Room, private bath;en;['en', 'it', 'pt'];45
104;barcelona;Sants-Montjuïc;Quiet Well connected Pl. España;en;['en'];50
105;barcelona;Gràcia;Nice & Cozy Apartment in Gracia;en;['en'];50
106;barcelona;Dreta de l'Eixample;Central space for 3 w/private bathroom;es;['en', 'it'];50
107;barcelona;Eixample;Beautiful room in downtown BCN w/private bathroom;en;[];45
108;barcelona;Ciutat Vella;4 PERSON ROOM;en;['en', 'sv'];40
109;barcelona;Eixample;AMAZING & BRIGHT IN EIXAMPLE BEIGE;en;[];45
110;barcelona;Ciutat Vella;Stunning vintage room with AC (old town);en;[];50
111;barcelona;El Gòtic;SUPER CENTRAL DOUBLE ROOM!!;en;['en', 'pt'];45
112;barcelona;Sants-Montjuïc;Cool&Centric Apartment;en;['en', 'it', 'pt'];50
113;barcelona;Gràcia;Flat near Sagrada Family and Gracia;en;[];45
114;barcelona;Eixample;Balcony for three, W/ private bathroom;en;[];45
115;barcelona;Ciutat Vella;Gorgeous room in central Barcelona;en;[];50
116;barcelona;Ciutat Vella;Penthouse Double Room+Balc@♥ of BCN;en;['en', 'pt'];50
117;barcelona;Sants-Montjuïc;CENTRIC & TERRACE & NEW apartment in Barcelona;en;['en', 'pt'];50
118;barcelona;El Gòtic;Cozy/elegant in the VERY center.;en;['en'];50
119;barcelona;Eixample;Huge@Rambla: bright & comfy. Perfect location;en;['en', 'it'];45
120;barcelona;El Gòtic;BARCELONA GOTICO ,great location;en;['en', 'fr', 'it'];45
121;barcelona;Horta-Guinardó;Charming little cottage;en;['en'];50
122;barcelona;El Coll;Close to Parc Güell and Metro;en;['en'];50
123;barcelona;El Raval;Central Room + Private Bathroom!;en;['en'];45
124;barcelona;Eixample;Huge Room cerca Plaza Catalunya w/private bathroom;en;['en'];45
125;barcelona;Eixample;INCREDIBLE VIEW front Sagrada Familia+PRIV.BALCONY;en;['en', 'it', 'pt'];50
126;barcelona;Ciutat Vella;Habitación grande y luminosa;es;[];45
127;barcelona;Eixample;BCN Center big room with balcony!;en;['en', 'it'];50
128;barcelona;Ciutat Vella;BCN center / balcony - ensuite bathroom;en;[];50
129;barcelona;Eixample;NEW!! CENTER.CLEAN.COMFORT. WIFI.;en;['en'];45
130;barcelona;Sants-Montjuïc;Views Sunny Pl. España Connected;en;['en'];50
131;barcelona;Les Corts;Soak Up the Iberian Sun on Penthouse Terrace;en;['de', 'en', 'fr', 'it'];50
132;barcelona;El Gòtic;EN-SUITE ROOM with PRIVATE BATHROOM;en;['en', 'pt'];45
133;barcelona;La Sagrada Família;Renovated & Vintage en Barcelona;en;['en'];50
134;barcelona;Sant Gervasi - Galvany;White-Airy Attic Apartment with Huge Private Leafy Terrace;en;['en'];50
135;barcelona;Sant Pere/Santa Caterina;⭐Penthouse Suite w/ Private Bathroom and Terrace⭐;es;['en', 'fr'];45
136;barcelona;el Fort Pienc;Stylish loft in the heart of BCN;en;['en'];50
137;barcelona;Eixample;Principal B&Bcn - Beautiful room with balcony 9;en;['en', 'fr'];50
138;barcelona;Sants-Montjuïc;SAN&SUN, design loft in city center;en;['en'];45
139;barcelona;Sant Martí;Past Meets Present in this Stunning Flat near the Beach;es;['de', 'en', 'fr', 'it', 'nl'];50
140;barcelona;Sant Antoni;APARTAMENT IN BARCELONA CENTRE;en;['en'];50
141;barcelona;Sants-Montjuïc;LUXURY PENTHOUSE WITH PRIV. TERRACE;en;['de', 'en'];50
142;barcelona;Ciutat Vella;Stunning room with en-suite bathroom AC (old town);en;[];50
143;barcelona;Gràcia;Cozy apartment in the centre of Gracia;en;['en'];50
144;barcelona;Sants-Montjuïc;Charming, central, new. Best value;en;['en', 'fr', 'nl'];45
145;barcelona;El Gòtic;Preciosa suite con increibles vistas;es;['en'];45
